epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,669.646,0.92918,2.81307,1.34731,0.4202,0.22601,0.15587,0.11748,0.89865,2.59619,1.41757,0.0700213,0.00333097,0.00333097
2,1265.34,0.99737,2.32863,1.38901,0.41431,0.19507,0.1348,0.09068,1.21076,3.07789,1.78015,0.0399553,0.00659833,0.00659833
3,1977.05,1.12612,2.60095,1.48585,0.4244,0.15519,0.0825,0.05136,1.43012,3.38524,2.15289,0.00982331,0.00979968,0.00979968
4,2821.9,1.17916,2.7145,1.52359,0.48792,0.21828,0.1813,0.12387,1.12915,2.60297,1.67103,0.009703,0.009703,0.009703
5,3673.23,1.10997,2.48949,1.46525,0.42358,0.30286,0.20968,0.1456,1.04457,2.43303,1.56512,0.009604,0.009604,0.009604
6,4300.72,1.06888,2.32522,1.43397,0.4451,0.32024,0.25502,0.187,0.9676,2.22623,1.50685,0.009505,0.009505,0.009505
7,4906.06,1.03442,2.20693,1.4047,0.39473,0.32753,0.26838,0.19659,0.98129,2.11361,1.4971,0.009406,0.009406,0.009406
8,5506.08,1.01438,2.11153,1.38838,0.46565,0.37884,0.32128,0.23907,0.89311,1.91579,1.41421,0.009307,0.009307,0.009307
9,6091.03,0.99134,2.01475,1.37107,0.48349,0.37498,0.33992,0.26142,0.86506,1.84012,1.38584,0.009208,0.009208,0.009208
10,6682.01,0.97242,1.95622,1.35902,0.46838,0.41655,0.38833,0.30187,0.83331,1.76902,1.35659,0.009109,0.009109,0.009109
11,7259.2,0.95881,1.90825,1.34598,0.46954,0.43476,0.40106,0.31385,0.81187,1.66934,1.33474,0.00901,0.00901,0.00901
12,7835.48,0.95145,1.86291,1.34178,0.53958,0.43768,0.4251,0.33244,0.79721,1.63556,1.31785,0.008911,0.008911,0.008911
13,8418.64,0.93876,1.81479,1.33028,0.47753,0.4742,0.43868,0.34517,0.77876,1.55814,1.30502,0.008812,0.008812,0.008812
14,8995.33,0.92932,1.79105,1.32084,0.51874,0.48015,0.44999,0.35387,0.77382,1.54207,1.29074,0.008713,0.008713,0.008713
15,9573.91,0.91642,1.74642,1.31439,0.46559,0.51472,0.48077,0.38537,0.73742,1.46247,1.26226,0.008614,0.008614,0.008614
16,10153.9,0.91739,1.71348,1.31335,0.5009,0.51986,0.48149,0.38893,0.7381,1.44717,1.27164,0.008515,0.008515,0.008515
17,10737,0.90419,1.68107,1.30513,0.53396,0.51602,0.49545,0.4003,0.7209,1.40483,1.24914,0.008416,0.008416,0.008416
18,11325.5,0.89651,1.64131,1.29674,0.52198,0.54364,0.49856,0.4043,0.71821,1.37847,1.25034,0.008317,0.008317,0.008317
19,12015.7,0.88903,1.63172,1.29521,0.52718,0.54824,0.51357,0.4172,0.70033,1.35479,1.22981,0.008218,0.008218,0.008218
20,12780.5,0.88473,1.59854,1.29107,0.52514,0.54644,0.5174,0.42263,0.70461,1.33271,1.23322,0.008119,0.008119,0.008119
21,13576.4,0.88365,1.57693,1.28868,0.54534,0.55397,0.53139,0.43639,0.69262,1.31515,1.22005,0.00802,0.00802,0.00802
22,14396.6,0.87824,1.56038,1.28772,0.53854,0.56296,0.53607,0.44267,0.67838,1.30275,1.2113,0.007921,0.007921,0.007921
23,15090.9,0.87285,1.55227,1.28589,0.54974,0.55721,0.54134,0.44572,0.67629,1.28689,1.206,0.007822,0.007822,0.007822
24,15722.3,0.86697,1.51817,1.27577,0.54723,0.58321,0.55378,0.45758,0.67147,1.25493,1.20259,0.007723,0.007723,0.007723
25,16534.7,0.86233,1.50078,1.27393,0.54664,0.58764,0.55907,0.46573,0.66105,1.24123,1.19168,0.007624,0.007624,0.007624
26,17404.8,0.85445,1.48939,1.26995,0.54615,0.59209,0.56657,0.47183,0.65446,1.22751,1.18958,0.007525,0.007525,0.007525
27,18072.5,0.85058,1.46292,1.26596,0.55645,0.60396,0.57395,0.47998,0.64995,1.20208,1.18573,0.007426,0.007426,0.007426
28,18664.3,0.84978,1.45343,1.26797,0.56786,0.60895,0.57908,0.48329,0.65135,1.18933,1.18982,0.007327,0.007327,0.007327
29,19280.9,0.84587,1.43961,1.25984,0.57065,0.60967,0.58149,0.48475,0.64947,1.1774,1.18726,0.007228,0.007228,0.007228
30,19857.2,0.83483,1.42616,1.25663,0.56816,0.60241,0.58577,0.48885,0.64191,1.15786,1.18155,0.007129,0.007129,0.007129
31,20430.5,0.84265,1.43144,1.26288,0.56851,0.60684,0.58102,0.48676,0.63846,1.16012,1.17896,0.00703,0.00703,0.00703
32,21003.1,0.83517,1.40048,1.25586,0.57113,0.61159,0.58749,0.4935,0.63133,1.15123,1.17301,0.006931,0.006931,0.006931
33,21574.2,0.83324,1.38915,1.25321,0.57606,0.61162,0.59163,0.49805,0.62802,1.13707,1.1692,0.006832,0.006832,0.006832
