epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.684,2.213,3.40746,1.83594,0.18397,0.16366,0.0715,0.03884,2.06062,2.7618,1.61795,0.0700419,0.00332868,0.00332868
2,522.306,2.13253,3.03831,1.65301,0.13136,0.15975,0.04675,0.02333,2.13246,2.92697,1.57012,0.03991,0.0065301,0.0065301
3,797.071,2.20744,3.09351,1.69999,0.13463,0.13782,0.04437,0.0221,2.35362,3.26001,1.78806,0.00964608,0.00959953,0.00959953
4,1080.36,2.27238,3.175,1.77411,0.1527,0.14096,0.04821,0.02625,2.1677,2.88401,1.74807,0.009406,0.009406,0.009406
5,1366.5,2.1896,3.05336,1.738,0.16178,0.20517,0.06787,0.03662,2.03582,2.64624,1.62804,0.009208,0.009208,0.009208
6,1645.19,2.14502,2.96538,1.67187,0.16212,0.20439,0.07386,0.03837,1.99499,2.63665,1.60438,0.00901,0.00901,0.00901
7,1921.72,2.08053,2.85789,1.64104,0.19733,0.18481,0.08324,0.04706,1.92635,2.55132,1.54442,0.008812,0.008812,0.008812
8,2149.66,2.04401,2.84438,1.6281,0.19568,0.20595,0.08496,0.0471,1.95935,2.53163,1.55648,0.008614,0.008614,0.008614
9,2393.51,2.01507,2.77585,1.6062,0.17877,0.19421,0.08774,0.04934,1.9217,2.56829,1.56598,0.008416,0.008416,0.008416
10,2623.89,1.99992,2.77199,1.59798,0.2016,0.1989,0.09489,0.0541,1.88996,2.46944,1.5431,0.008218,0.008218,0.008218
11,2960.41,1.95061,2.71414,1.57767,0.19721,0.22161,0.10609,0.06225,1.83572,2.36534,1.51447,0.00802,0.00802,0.00802
12,3252.74,1.94134,2.65603,1.56442,0.21312,0.20517,0.10774,0.06315,1.84205,2.38819,1.52232,0.007822,0.007822,0.007822
13,3582.21,1.92561,2.65291,1.56509,0.20952,0.2083,0.10833,0.06331,1.84239,2.3828,1.49584,0.007624,0.007624,0.007624
14,3914.2,1.91137,2.64417,1.54152,0.2188,0.2224,0.11119,0.06523,1.83228,2.36558,1.50012,0.007426,0.007426,0.007426
15,4247.36,1.89927,2.6476,1.54064,0.2212,0.24354,0.11826,0.0707,1.79815,2.32745,1.46785,0.007228,0.007228,0.007228
16,4575.36,1.8887,2.60052,1.53383,0.20745,0.24197,0.11796,0.06946,1.76353,2.2979,1.49735,0.00703,0.00703,0.00703
17,4906.84,1.87782,2.58976,1.52669,0.21106,0.21065,0.11415,0.06864,1.78049,2.30181,1.44821,0.006832,0.006832,0.006832
18,5235.65,1.87318,2.58639,1.52056,0.21633,0.22866,0.11935,0.07133,1.76145,2.27358,1.45449,0.006634,0.006634,0.006634
19,5521.04,1.8493,2.55045,1.51053,0.24022,0.22005,0.12088,0.07315,1.73737,2.26451,1.46133,0.006436,0.006436,0.006436
20,5765.6,1.84096,2.52996,1.5057,0.22451,0.24667,0.1286,0.07806,1.77316,2.23665,1.45015,0.006238,0.006238,0.006238
21,6098.75,1.81406,2.4863,1.47382,0.24035,0.22396,0.12776,0.0754,1.72905,2.23297,1.42144,0.00604,0.00604,0.00604
22,6411.64,1.80834,2.48055,1.46815,0.24104,0.22631,0.1254,0.07511,1.72043,2.24184,1.43071,0.005842,0.005842,0.005842
23,6741.47,1.81688,2.48841,1.48135,0.25539,0.22318,0.12987,0.07612,1.73402,2.22278,1.44775,0.005644,0.005644,0.005644
24,7085.44,1.80045,2.47218,1.47568,0.23878,0.24589,0.12852,0.07523,1.70734,2.20322,1.41436,0.005446,0.005446,0.005446
25,7421.46,1.79684,2.46702,1.46552,0.2503,0.22693,0.1345,0.08268,1.69524,2.21025,1.41366,0.005248,0.005248,0.005248
26,7758.12,1.78928,2.44829,1.46317,0.23397,0.25137,0.13399,0.08104,1.66879,2.1934,1.42562,0.00505,0.00505,0.00505
27,8094.28,1.78225,2.45129,1.46658,0.2564,0.23114,0.14472,0.08846,1.67083,2.14928,1.40543,0.004852,0.004852,0.004852
28,8430.92,1.77552,2.4406,1.46572,0.24417,0.24432,0.13288,0.08236,1.67743,2.15366,1.4149,0.004654,0.004654,0.004654
29,8767.81,1.76561,2.42809,1.458,0.25772,0.2379,0.14417,0.08815,1.68176,2.15261,1.4089,0.004456,0.004456,0.004456
30,9103.03,1.74944,2.40259,1.44898,0.26034,0.24119,0.1425,0.0881,1.64732,2.13813,1.38655,0.004258,0.004258,0.004258
31,9439.61,1.7531,2.41104,1.44558,0.27039,0.2403,0.14639,0.0895,1.66487,2.10945,1.39872,0.00406,0.00406,0.00406
32,9772.93,1.76656,2.42352,1.44154,0.25959,0.26625,0.1427,0.08739,1.65788,2.13243,1.38945,0.003862,0.003862,0.003862
33,10105.2,1.71976,2.36025,1.43163,0.26129,0.24354,0.14596,0.09064,1.64103,2.12186,1.3891,0.003664,0.003664,0.003664
34,10436.7,1.71166,2.35315,1.42201,0.25207,0.24824,0.14994,0.09228,1.64574,2.1127,1.39091,0.003466,0.003466,0.003466
35,10816.7,1.72526,2.37329,1.42201,0.2706,0.25768,0.14871,0.09171,1.63817,2.10544,1.39145,0.003268,0.003268,0.003268
36,11156.5,1.71171,2.37396,1.41741,0.26856,0.26222,0.14729,0.09071,1.64372,2.10213,1.37586,0.00307,0.00307,0.00307
37,11485.4,1.71023,2.34314,1.41444,0.27072,0.26077,0.15194,0.09633,1.62338,2.08412,1.36192,0.002872,0.002872,0.002872
38,11814.5,1.71045,2.33813,1.41685,0.26049,0.2498,0.14995,0.09214,1.6267,2.08486,1.36925,0.002674,0.002674,0.002674
39,12566.1,1.694,2.33621,1.40782,0.27349,0.24197,0.15499,0.09478,1.62439,2.08227,1.3631,0.002476,0.002476,0.002476
40,12898,1.67044,2.3051,1.4045,0.26999,0.24589,0.15367,0.09678,1.62416,2.09562,1.38039,0.002278,0.002278,0.002278
41,13212.5,1.64854,2.30436,1.41729,0.28975,0.24745,0.15505,0.09502,1.64176,2.09081,1.39324,0.00208,0.00208,0.00208
42,13526.7,1.63538,2.26008,1.41222,0.28679,0.2623,0.15813,0.09759,1.6409,2.07942,1.39231,0.001882,0.001882,0.001882
