epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.735,2.26796,8.04156,2.95593,0,0,0,0,2.87671,7.11393,3.29536,0.0670467,0.000332861,0.000332861
2,247.802,1.78981,6.41864,2.42298,0.01276,0.00303,0.00741,0.00475,2.03311,6.10017,2.51969,0.0340467,0.000666176,0.000666176
3,368.739,1.63184,5.86182,2.2628,0.0253,0.01791,0.01768,0.01193,1.89603,5.5262,2.27883,0.00104663,0.000999419,0.000999419
4,490.306,1.53156,5.48987,2.15688,0.03089,0.02277,0.01983,0.01432,1.81589,6.32284,2.14232,0.000999756,0.000999756,0.000999756
5,616.009,1.45761,5.19577,2.07265,0.08498,0.04043,0.0584,0.04114,1.71735,4.84305,2.04421,0.000999566,0.000999566,0.000999566
6,733.77,1.41254,4.98538,2.02284,0.12392,0.05579,0.08477,0.05874,1.58164,4.70115,1.88302,0.000999322,0.000999322,0.000999322
7,849.199,1.37517,4.79262,1.97801,0.1348,0.05151,0.09015,0.06653,1.61387,4.3845,1.88542,0.000999023,0.000999023,0.000999023
8,969.6,1.34057,4.65084,1.94085,0.19039,0.07353,0.12543,0.09019,1.58007,4.48047,1.84341,0.000998671,0.000998671,0.000998671
9,1091.09,1.32003,4.53137,1.91601,0.21033,0.09679,0.14981,0.10935,1.48339,4.21056,1.75084,0.000998264,0.000998264,0.000998264
10,1213.38,1.29985,4.41627,1.8941,0.21665,0.11078,0.15766,0.11555,1.4941,4.02992,1.74726,0.000997803,0.000997803,0.000997803
11,1336.13,1.2812,4.30389,1.87354,0.2553,0.10816,0.17777,0.1333,1.49884,3.93814,1.74284,0.000997288,0.000997288,0.000997288
12,1457.11,1.27407,4.23112,1.85951,0.27354,0.14854,0.20231,0.14371,1.46659,3.92057,1.70146,0.00099672,0.00099672,0.00099672
13,1574.33,1.25693,4.15079,1.84566,0.28745,0.16859,0.22396,0.16032,1.41383,3.64619,1.63631,0.000996097,0.000996097,0.000996097
14,1688.09,1.24954,4.05933,1.83312,0.29803,0.19563,0.24028,0.17217,1.44575,3.70144,1.66784,0.00099542,0.00099542,0.00099542
15,1805.37,1.23339,3.99673,1.81527,0.29989,0.22209,0.25343,0.18422,1.40253,3.4931,1.61998,0.00099469,0.00099469,0.00099469
16,1920.69,1.22999,3.92204,1.8069,0.33841,0.22921,0.27939,0.20212,1.36627,3.36764,1.58467,0.000993906,0.000993906,0.000993906
17,2036.1,1.21618,3.84807,1.79965,0.32824,0.24857,0.27868,0.20656,1.35931,3.42766,1.57795,0.000993068,0.000993068,0.000993068
18,2151.69,1.20804,3.79981,1.78566,0.35881,0.25493,0.29703,0.21835,1.35617,3.3529,1.56615,0.000992177,0.000992177,0.000992177
19,2267.24,1.1971,3.76095,1.78194,0.38716,0.29725,0.32909,0.24567,1.33198,3.21592,1.53303,0.000991232,0.000991232,0.000991232
20,2382.24,1.1955,3.71191,1.77786,0.39658,0.27659,0.33004,0.24434,1.32196,3.18174,1.51891,0.000990234,0.000990234,0.000990234
